year,domestic_schedule_url,international_schedule_url,status,private_originals_path,source_ledger_count,candidate_count,reviewer,notes
2005,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2005,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2005,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2005,0,0,,
2006,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2006,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2006,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2006,0,0,,
2007,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2007,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2007,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2007,0,0,,
2008,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2008,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2008,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2008,0,0,,
2009,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2009,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2009,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2009,0,0,,
2010,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2010,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2010,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2010,0,0,,
2011,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2011,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2011,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2011,0,0,,
2012,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2012,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2012,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2012,0,0,,
2013,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2013,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2013,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2013,0,0,,
2014,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2014,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2014,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2014,0,0,,
2015,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2015,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2015,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2015,0,0,,
2016,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2016,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2016,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2016,0,0,,
2017,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2017,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2017,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2017,0,0,,
2018,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2018,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2018,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2018,0,0,,
2019,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2019,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2019,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2019,0,0,,
2020,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2020,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2020,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2020,0,0,,
2021,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2021,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2021,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2021,0,0,,
2022,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2022,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2022,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2022,0,0,,
2023,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2023,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2023,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2023,0,0,,
2024,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2024,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2024,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2024,0,0,,
2025,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2025,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2025,candidate_review_needed,data/sources/import/originals/kaaf-backfill-2005-20260708/2025,3,1,,seed candidate needs external confirmation
2026,https://www.kaaf.or.kr/ver3/info/internal.asp?currentYear=2026,https://www.kaaf.or.kr/ver3/info/international.asp?currentYear=2026,not_started,data/sources/import/originals/kaaf-backfill-2005-20260708/2026,0,0,,through 2026-07-08 service date
